Unnamed: 0,"Ogółem
Grand total",Unnamed: 2,"z podatków pośrednich
indirect tax revenue",Unnamed: 4,"z podatku od towarów i usług (VAT)
Value added tax (VAT) revenue",Unnamed: 6,"z podatku akcyzowego
excise tax revenue",Unnamed: 8,"z podatku dochodowego od osób prawnych
corporate income tax revenue",Unnamed: 10,"z podatku dochodowego od osób fizycznych
personal 
income tax revenue",Unnamed: 12,"z podatku od niektórych instytucji finansowych
On certain financial institutions tax revenue",Unnamed: 14,"z dywidend i wpłyów z zysku
dividends and income from profit revenue",Unnamed: 16,"z wpłat z zysku Narodowego Banku Polskiego
payments from profit of the National Bank of Poland revenue",Unnamed: 18,"z wpłyów z cła 
receipts from customs duties revenue",Unnamed: 20,"dochody państwowych jednostek budżetowych i inne dochody niepodatkowe  
revenue of state budgetary units and other non-tax revenue  ",Unnamed: 22,"środki z Unii Europejskiej i innych źródeł niepodlegające zwrotowi  
non-returnable funds from the European Union and other sources",Unnamed: 24,"Ogółem
Grand total.1",Unnamed: 26,"ubezpieczenia społeczne
social security contributions",Unnamed: 28,"subwencja ogólna dla jednostek samorządu terytorialnego
general subsidy for local government units",Unnamed: 30,"wydatki bieżące jednostek budżetowych
current expenditure of budgetary units",Unnamed: 32,"wydatki majątkowe
property expenditure",Unnamed: 34,"obsługa długu Skarbu Państwa
State Treasure debt service",Unnamed: 36,"środki własne 
Unii Europejskiej European Union own resources",Unnamed: 38,"współfinansowanie projektów z udziałem środków Unii Europejskiej 
co-financing of projects with the participation of the European Union funds",Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,"miliony PLN
million PLN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 M01-11,262900.1,,167491.7,,110992.4,,55166.0,,22916.1,,35811.4,, -   ,,7792.2,,8205.3,,1828.1,,14134.5,,1274.2,,293377.3,,71036.9,,49231.6,,49425.5,,8212.7,,41456.9,,16451.8,,9664.0,,-30477.2,,18691.6,
2012 M01-12,287595.1,,181892.2,,120000.7,,60449.9,,25145.7,,39809.4,, -   ,,8208,,8205.3,,1974.0,,16348.0,,2177.3,,318001.9,,75958.9,,50371.7,,57228.3,,13569.5,,42108.8,,15942.5,,10800.8,,-30406.7,,18863.7,
2013 M01,25915,,17704.4,,13173.6,,4421.7,,1941.8,,3978.7,, -   ,,94.6,, -   ,,141.1,,1656.1,,29.7,,34355.9,,10444.9,,6991.2,,3480.3,,263.1,,5499.8,,2241.6,,1647.7,,-8440.9,,3913.9,
2013 M01-02,42801.2,,28378.2,,19532.7,,8620.5,,3785.0,,6847.3,, -   ,,104.5,, -   ,,298.8,,2587.1,,38.9,,64485.8,,16679.0,,13981.9,,8894.8,,674.0,,7448.3,,5642.7,,2762.2,,-21684.6,,5696.1,
2013 M01-03,61320.8,,39840.3,,26602.2,,12903.7,,6197.2,,9078.0,, -   ,,127.5,, -   ,,468.1,,4251.0,,217.0,,85773.5,,20125.6,,17945.8,,13962.4,,1124.2,,8900.2,,7058.0,,3685.2,,-24452.7,,6559.8,
2013 M01-04,86888.4,,55175.1,,36745.8,,17977.0,,9463.7,,13211.2,, -   ,,206.9,, -   ,,638.4,,6603.8,,56.2,,118605.4,,26647.9,,21909.2,,19047.0,,1629.6,,18618.1,,8421.7,,4391.1,,-31717.0,,8169.3,
2013 M01-05,107792.1,,68480.7,,45179.3,,22741.6,,10978.3,,16027.7,, -   ,,296.1,, -   ,,790.4,,8913.7,,415.7,,138743.3,,30272.0,,25922.8,,23580.9,,2081.1,,19270.2,,9812.6,,5167.1,,-30951.2,,8679.3,
2013 M01-06,133732.9,,82650.9,,54285.3,,27701.7,,11534.6,,18791.4,, -   ,,1087.4,,5264,,950.6,,10760.6,,451.7,,159606.5,,33486.0,,29936.1,,27931.1,,2887.2,,20901.0,,11197.8,,5927.2,,-25873.7,,9566.2,
2013 M01-07,158499.8,,99962.5,,65639.0,,33550.3,,13056.9,,22088.7,, -   ,,1534,,5264,,1113.8,,12436.5,,461.6,,184449.5,,38102.4,,34040.7,,32383.5,,4108.4,,25175.4,,12556.7,,6552.7,,-25949.6,,10903.8,
2013 M01-08,180908.3,,114413.0,,74848.5,,38688.2,,14799.1,,25836.4,, -   ,,2447.7,,5264,,1287.0,,13214.2,,725.3,,207719.4,,45148.9,,38098.7,,36636.1,,5145.9,,26033.9,,13960.4,,7211.1,,-26811.1,,10966.5,
